id,name,citation,year,competitor_type,language,stimulus_modality,audio_included,eyetracking_data_included,n_items,license,source_url,notes
tanenhaus1995,Tanenhaus Spivey-Knowlton Eberhard & Sedivy (1995),"Tanenhaus, M. K., Spivey-Knowlton, M. J., Eberhard, K. M., & Sedivy, J. C. (1995). Integration of visual and linguistic information in spoken language comprehension. Science, 268(5217), 1632-1634.",1995,syntactic/referential,English,real objects,unknown,no,unknown,unclear,https://doi.org/10.1126/science.7777863,"The origin paper for the modern VWP. Real-object workspace + head-mounted tracker (put the apple on the towel ambiguity). Stimuli described in paper; no packaged set."
allopenna1998,Allopenna Magnuson & Tanenhaus (1998),"Allopenna, P. D., Magnuson, J. S., & Tanenhaus, M. K. (1998). Tracking the time course of spoken word recognition using eye movements: Evidence for continuous mapping models. Journal of Memory and Language, 38(4), 419-439.",1998,cohort+rhyme,English,line drawings,unknown,no,unknown,unclear,https://doi.org/10.1006/jmla.1997.2558,"Foundational lexical-competition study (beaker/beetle/speaker/carriage). Item set described in paper; not packaged as a download. TRACE simulations widely reused."
sedivy1999,Sedivy Tanenhaus Chambers & Carlson (1999),"Sedivy, J. C., Tanenhaus, M. K., Chambers, C. G., & Carlson, G. N. (1999). Achieving incremental semantic interpretation through contextual representation. Cognition, 71(2), 109-147.",1999,referential contrast,English,real objects,unknown,no,unknown,unclear,https://doi.org/10.1016/S0010-0277(99)00025-6,"Origin of the Referential Contrast Effect (tall glass with a contrasting short glass present). Adjective-driven anticipatory looks."
altmann_kamide1999,Altmann & Kamide (1999),"Altmann, G. T. M., & Kamide, Y. (1999). Incremental interpretation at verbs: Restricting the domain of subsequent reference. Cognition, 73(3), 247-264.",1999,semantic/anticipatory,English,clipart scenes,unknown,no,unknown,unclear,https://doi.org/10.1016/S0010-0277(99)00059-1,"Classic anticipatory-looks study (the boy will eat the cake). Semi-realistic scenes rather than 4-object arrays."
dahan2001freq,Dahan Magnuson & Tanenhaus (2001) — frequency,"Dahan, D., Magnuson, J. S., & Tanenhaus, M. K. (2001). Time course of frequency effects in spoken-word recognition: Evidence from eye movements. Cognitive Psychology, 42(4), 317-367.",2001,cohort (frequency-manipulated),English,line drawings,unknown,no,unknown,unclear,https://doi.org/10.1006/cogp.2001.0750,"Cohort competition modulated by lexical frequency (bench/bed/bell). Influential for frequency effects in lexical access."
dahan2001subcat,Dahan Magnuson Tanenhaus & Hogan (2001) — subcategorical,"Dahan, D., Magnuson, J. S., Tanenhaus, M. K., & Hogan, E. M. (2001). Subcategorical mismatches and the time course of lexical access: Evidence for lexical competition. Language and Cognitive Processes, 16(5-6), 507-534.",2001,coarticulatory/subphonemic,English,line drawings,unknown,no,unknown,unclear,https://doi.org/10.1080/01690960143000074,"Cross-spliced coarticulatory mismatch; fine-grained phonetic detail. Stimuli described in paper."
huettig_altmann2005,Huettig & Altmann (2005) — semantic,"Huettig, F., & Altmann, G. T. M. (2005). Word meaning and the control of eye fixation: Semantic competitor effects and the visual world paradigm. Cognition, 96(1), B23-B32.",2005,semantic,English,line drawings,unknown,no,30,unclear,https://doi.org/10.1016/j.cognition.2004.10.003,"Semantic-category competitor (hear piano, look at trumpet). 30 scenes. Feature-norm similarity correlated with fixations."
huettig_mcqueen2007,Huettig & McQueen (2007) — phon/sem/shape,"Huettig, F., & McQueen, J. M. (2007). The tug of war between phonological, semantic and shape information in language-mediated visual search. Journal of Memory and Language, 57(4), 460-482.",2007,phonological+semantic+shape,Dutch,line drawings,unknown,no,unknown,unclear,https://doi.org/10.1016/j.jml.2007.02.001,"Dissociates phonological vs semantic vs visual-shape competitors and their timing. Dutch materials."
boss,BOSS — Bank of Standardized Stimuli,"Brodeur, M. B., Dionne-Dostie, E., Montreuil, T., & Lepage, M. (2010). The Bank of Standardized Stimuli (BOSS), a new set of 480 normative photos of objects. PLoS ONE, 5(5), e10773.",2010,none (image bank),language-independent,object photos,no,no,1468,CC BY-SA 3.0,https://sites.google.com/site/bosstimuli/,"Not VWP-specific but the most common normed object-photo source for building VWP displays. Used in the OpenSesame VWP tutorial. Name agreement / familiarity norms included."
multipic,MultiPic,"Duñabeitia, J. A., Crepaldi, D., Meyer, A. S., New, B., Pliatsikas, C., Smolka, E., & Brysbaert, M. (2018). MultiPic: A standardized set of 750 drawings with norms for six European languages. Quarterly Journal of Experimental Psychology, 71(4), 808-816.",2018,none (image bank),"multilingual (EN, ES, FR, DE, IT, NL)",line drawings,no,no,750,CC BY-NC-ND 4.0 (varies),https://www.bcbl.eu/databases/multipic/,"750 colored drawings normed for naming across six languages. Useful for cross-linguistic VWP display construction. Note non-commercial license."
snodgrass_color,Rossion & Pourtois (2004) colorized Snodgrass-Vanderwart,"Rossion, B., & Pourtois, G. (2004). Revisiting Snodgrass and Vanderwart's object pictorial set: The role of surface detail in basic-level object recognition. Perception, 33(2), 217-236.",2004,none (image bank),language-independent,line drawings/colorized,no,no,260,academic use,https://doi.org/10.1068/p5117,"Colorized/textured version of the classic Snodgrass & Vanderwart (1980) 260-item set. Common VWP display source."
opensesame_vwp_tutorial,OpenSesame VWP Tutorial Project,"Mathôt, S., Schreij, D., & Theeuwes, J. (2012). OpenSesame: An open-source, graphical experiment builder for the social sciences. Behavior Research Methods, 44(2), 314-324.",2012,none (demo),English,object photos (BOSS),yes,no,unknown,CC BY-SA 3.0,https://osf.io/4afk7/,"Complete runnable VWP experiment + stimuli built for teaching. Good template for experiment structure and timing."
referential_contrast2022,Referential Contrast Effect (VWP eye-tracking) — OSF,"OSF project (2022). Referential contrast effect: Visual World paradigm with eye-tracking.",2022,referential contrast,unknown,unknown,unknown,yes,unknown,unclear,https://osf.io/wycs5/,"Study repository including eye-tracking data, in the Sedivy referential-contrast tradition. CONTENTS UNVERIFIED — confirm stimuli/license before reuse."
eyemovement_suppression2024,Eye-movement Suppression in the VWP — OSF,"Eye-movement suppression in the visual world paradigm. Open Mind, 8, 1012-1036 (2024).",2024,methodological,English,unknown,unknown,yes,unknown,"CC (Open Mind; verify)",https://osf.io/9qzns/,"Data + analysis scripts (doi:10.1162/opmi_a_00157). Methods-focused; useful for analysis pipelines more than for stimuli. CONTENTS UNVERIFIED."
